type	clinical_trial_id	title	last_update_posted	recruitment_status	publication_id	queried_project_id
clinical_trial	NCT01307631	Akt Inhibitor MK2206 in Treating Patients With Recurrent or Advanced Endometrial Cancer	11-Feb-2022	Completed	31714586	P50CA098258
clinical_trial	NCT02030847	Study of Redirected Autologous T Cells Engineered to Contain Anti-CD19 Attached to TCR and 4-1BB Signaling Domains in Patients With Chemotherapy Resistant or Refractory Acute Lymphoblastic Leukemia	30-Aug-2019	Completed	31815579	P01CA214278
clinical_trial	NCT00533949	High-Dose or Standard-Dose Radiation Therapy and Chemotherapy With or Without Cetuximab in Treating Patients With Newly Diagnosed Stage III Non-Small Cell Lung Cancer That Cannot Be Removed by Surgery	5-Feb-2020	Unknown	31841363	U24CA180803
clinical_trial	NCT02092324	Ruxolitinib Phosphate in Treating Patients With Chronic Neutrophilic Leukemia or Atypical Chronic Myeloid Leukemia	16-Nov-2020	Completed	31880950	U54CA224019
clinical_trial	NCT01677910	TELESTAR (Telotristat Etiprate for Somatostatin Analogue Not Adequately Controlled Carcinoid Syndrome)	27-Feb-2018	Completed	32146619	P50CA174521
clinical_trial	NCT02063659	Telotristat Etiprate for Carcinoid Syndrome Therapy (TELECAST)	26-Feb-2018	Completed	32146619	P50CA174521
clinical_trial	NCT00002874	Radiation Therapy With or Without Bicalutamide for Recurrent pT3N0 Prostate Cancer After Radical Prostatectomy	3-Mar-2022	Unknown	32215583	P50CA186786
clinical_trial	NCT02315612	Anti-CD22 Chimeric Receptor T Cells in Pediatric and Young Adults With Recurrent or Refractory CD22-expressing B Cell Malignancies	11-Apr-2022	Recruiting	32286905	U01CA224766
clinical_trial	NCT01363206	Granulocyte Macrophage-Colony Stimulating Factor and Ipilimumab as Therapy in Melanoma (GIPI)	19-Mar-2020	Completed	32376721	U01CA233100
clinical_trial	NCT00064129	Ipilimumab and Sargramostim in Treating Patients With Metastatic Prostate Cancer	30-Jul-2020	Completed	32376721	U01CA233100
clinical_trial	NCT03799432	Collaborative Organizational Approach to Selecting and Tailoring Implementation Strategies (COAST-IS)	8-Jan-2021	Active, not recruiting	32391524	P50CA244431
clinical_trial	NCT00557193	Combination Chemotherapy With or Without Lestaurtinib in Treating Younger Patients With Newly Diagnosed Acute Lymphoblastic Leukemia	25-Mar-2022	Active, not recruiting	32414848	U01CA232486
clinical_trial	NCT01454297	Relating Clinical Outcomes in Multiple Myeloma to Personal Assessment of Genetic Profile (CoMMpass)	16-Aug-2018	Active, not recruiting	32471990	U2CCA233303
clinical_trial	NCT02296684	Immunotherapy With MK-3475 in Surgically Resectable Head and Neck Squamous Cell Carcinoma	30-Aug-2021	Active, not recruiting	32665297	U24CA237719
clinical_trial	NCT02296684	Immunotherapy With MK-3475 in Surgically Resectable Head and Neck Squamous Cell Carcinoma	30-Aug-2021	Active, not recruiting	32665297	U01CA209936
clinical_trial	NCT00902044	Her2 Chimeric Antigen Receptor Expressing T Cells in Advanced Sarcoma	30-Dec-2021	Active, not recruiting	32669548	U54CA232568
clinical_trial	NCT01191060	Study Comparing Conventional Dose Combination RVD to High-Dose Treatment With ASCT in the Initial Myeloma up to 65 Years (IFM/DFCI2009)	18-Apr-2019	Completed	32687451	P01CA155258
clinical_trial	NCT02180867	Radiation Therapy With or Without Combination Chemotherapy or Pazopanib Before Surgery in Treating Patients With Newly Diagnosed Non-rhabdomyosarcoma Soft Tissue Sarcomas That Can Be Removed by Surgery	11-Apr-2022	Active, not recruiting	32702309	U24CA180803
clinical_trial	NCT04358276	Technology-Enabled Activation of Skin Cancer Screening for Stem Cell Transplant Survivors and Their Primary Care Providers, TEACH Study	21-Feb-2022	Recruiting	32746799	R01CA249460
clinical_trial	NCT00500591	Prevalence of Endometrial Abnormalities In Obese Women	25-Feb-2021	Active, not recruiting	32835719	P50CA098258
clinical_trial	NCT03051659	A Randomized Phase II Study Of Eribulin Mesylate With or Without Pembrolizumab For Metastatic Hormone Receptor Positive Breast Cancer	21-Dec-2021	Active, not recruiting	32880602	R01CA226776
clinical_trial	NCT03287908	A Study to Assess AMG 701 Montherapy, or in Combination With Pomalidomide, With or Without, Dexamethasone in Subjects With Relapsed or Refractory Multiple Myeloma	18-Mar-2022	Recruiting	32898244	P01CA155258
clinical_trial	NCT04071366	A Study of Itacitinib for the Prevention of Cytokine Release Syndrome Induced by Immune Effector Cell Therapy	23-Mar-2022	Recruiting	32998963	P01CA214278
clinical_trial	NCT03837353	A Parallel Arm Phase 1b/2a Study of DKN-01 as Monotherapy or in Combination With Docetaxel for the Treatment of Advanced Prostate Cancer With Elevated DKK1	3-Mar-2022	Recruiting	33015525	U54CA224079
clinical_trial	NCT04302675	Adapting Motivational Interviewing for Maternal Immunizations (MI4MI) (MI4MI)	26-Jul-2021	Active, not recruiting	33203635	P50CA244688
clinical_trial	NCT00022737	Combination Chemotherapy With or Without Peripheral Stem Cell Transplant in Treating Children With Acute Lymphoblastic Leukemia	27-Feb-2014	Completed	33242441	U01CA232486
clinical_trial	NCT00287105	Safety and Efficacy of Imatinib Added to Chemotherapy in Treatment of Ph+ Acute Lymphoblastic Leukemia in Children (ESPHALL)	20-Oct-2017	Completed	33242441	U01CA232486
clinical_trial	NCT00720109	Dasatinib and Combination Chemotherapy in Treating Young Patients With Newly Diagnosed Acute Lymphoblastic Leukemia	13-Apr-2020	Completed	33242441	U01CA232486
clinical_trial	NCT01460160	Pediatric Philadelphia Positive Acute Lymphoblastic Leukemia	8-Dec-2021	Completed	33242441	U01CA232486
clinical_trial	NCT01423747	Allogeneic Stem Cell Transplantation in Children and Adolescents With Acute Lymphoblastic Leukaemia	26-Jun-2015	Unknown	33242441	U01CA232486
clinical_trial	NCT01423500	ALL-SCT BFM International- HSCT in Children and Adolescents With ALL (ALL-SCT-BFMi)	26-Jun-2015	Unknown	33242441	U01CA232486
clinical_trial	NCT01949129	Allogeneic Stem Cell Transplantation for Children and Adolescents With Acute Lymphoblastic Leukaemia	1-Oct-2020	Recruiting	33242441	U01CA232486
clinical_trial	NCT01117441	International Collaborative Treatment Protocol For Children And Adolescents With Acute Lymphoblastic Leukemia	20-Oct-2020	Active, not recruiting	33242441	U01CA232486
clinical_trial	NCT02066181	Sorafenib Tosylate in Treating Patients With Desmoid Tumors or Aggressive Fibromatosis	22-Mar-2022	Active, not recruiting	33258687	U01CA233046
clinical_trial	NCT02066181	Sorafenib Tosylate in Treating Patients With Desmoid Tumors or Aggressive Fibromatosis	22-Mar-2022	Active, not recruiting	34420143	U01CA233046
clinical_trial	NCT02906371	Study of the Tocilizumab Optimization Timing for CART19 Associated Cytokine Release Syndrome	2-Jul-2021	Completed	33417474	P01CA214278
clinical_trial	NCT01970358	A Phase I Study With a Personalized NeoAntigen Cancer Vaccine in Melanoma	9-Dec-2020	Completed	33479501	U24CA224331
clinical_trial	NCT02228096	Study of Efficacy and Safety of CTL019 in Pediatric ALL Patients (ENSIGN)	23-Nov-2020	Completed	33496754	P01CA214278
clinical_trial	NCT02058706	LHRH Analogue Therapy With Enzalutamide or Bicalutamide in Treating Patients With Metastatic Hormone Sensitive Prostate Cancer	3-Mar-2021	Active, not recruiting	33496795	P50CA186786
clinical_trial	NCT02254278	Reduced-Dose Intensity-Modulated Radiation Therapy With or Without Cisplatin in Treating Patients With Advanced Oropharyngeal Cancer	11-Mar-2022	Active, not recruiting	33507809	U24CA180803
clinical_trial	NCT02136134	Addition of Daratumumab to Combination of Bortezomib and Dexamethasone in Participants With Relapsed or Refractory Multiple Myeloma	25-Mar-2022	Active, not recruiting	33513030	P01CA155258
clinical_trial	NCT02076009	A Study Comparing Daratumumab, Lenalidomide, and Dexamethasone With Lenalidomide and Dexamethasone in Relapsed or Refractory Multiple Myeloma	25-Mar-2022	Active, not recruiting	33513030	P01CA155258
clinical_trial	NCT03224520	Smoker-to-Smoker (S2S) Peer Marketing and Messaging to Disseminate Tobacco Interventions	26-Mar-2021	Completed	33571687	P50CA244693
clinical_trial	NCT01497808	RADVAX&#8482;: A STRATIFIED PHASE I/II DOSE ESCALATION TRIAL OF HYPOFRACTIONATED RADIOTHERAPY FOLLOWED BY IPILIMUMAB IN METASTATIC MELANOMA	10-Aug-2021	Completed	33643689	P01CA210944
clinical_trial	NCT01822509	Ipilimumab or Nivolumab in Treating Patients With Relapsed Hematologic Malignancies After Donor Stem Cell Transplant	24-Jun-2021	Completed	33720354	U01DK124165
clinical_trial	NCT01822509	Ipilimumab or Nivolumab in Treating Patients With Relapsed Hematologic Malignancies After Donor Stem Cell Transplant	24-Jun-2021	Completed	33720354	U24CA224316
clinical_trial	NCT01822509	Ipilimumab or Nivolumab in Treating Patients With Relapsed Hematologic Malignancies After Donor Stem Cell Transplant	24-Jun-2021	Completed	33720354	U24CA224319
clinical_trial	NCT01822509	Ipilimumab or Nivolumab in Treating Patients With Relapsed Hematologic Malignancies After Donor Stem Cell Transplant	24-Jun-2021	Completed	33720354	U24CA224331
clinical_trial	NCT02206334	Stereotactic Body Radiation Therapy in Treating Patients With Metastatic Breast Cancer, Non-small Cell Lung Cancer, or Prostate Cancer	2-Mar-2022	Active, not recruiting	33885704	U24CA180803
clinical_trial	NCT02588456	Pilot Study of Autologous Anti-CD22 Chimeric Antigen Receptor Redirected T Cells In Patients With Chemotherapy Resistant Or Refractory Acute Lymphoblastic Leukemia	12-Jan-2018	Terminated	33888899	P01CA214278
clinical_trial	NCT02650414	CD22 Redirected Autologous T Cells for ALL	21-Jan-2022	Recruiting	33888899	P01CA214278
clinical_trial	NCT01804465	Sipuleucel-T With Immediate vs. Delayed Cytotoxic T-Lymphocyte-Associated Protein 4 (CTLA-4) Blockade for Prostate Cancer	18-Aug-2021	Completed	33986125	U01CA233100
clinical_trial	NCT01804465	Sipuleucel-T With Immediate vs. Delayed Cytotoxic T-Lymphocyte-Associated Protein 4 (CTLA-4) Blockade for Prostate Cancer	18-Aug-2021	Completed	33986125	U01CA244452
clinical_trial	NCT02501096	A Trial of Lenvatinib (E7080) Plus Pembrolizumab in Participants With Selected Solid Tumors	7-Mar-2022	Active, not recruiting	34039647	R01CA205426
clinical_trial	NCT03985852	Broadening the Reach, Impact, and Delivery of Genetic Services (BRIDGE)	27-Aug-2021	Enrolling by invitation	34078380	U01CA232826
clinical_trial	NCT00085735	Comparison of Radiation Therapy Regimens in Combination With Chemotherapy in Treating Young Patients With Newly Diagnosed Standard-Risk Medulloblastoma	2-Mar-2022	Active, not recruiting	34110925	U10CA180899
clinical_trial	NCT00085735	Comparison of Radiation Therapy Regimens in Combination With Chemotherapy in Treating Young Patients With Newly Diagnosed Standard-Risk Medulloblastoma	2-Mar-2022	Active, not recruiting	34110925	U24CA196173
clinical_trial	NCT00085735	Comparison of Radiation Therapy Regimens in Combination With Chemotherapy in Treating Young Patients With Newly Diagnosed Standard-Risk Medulloblastoma	2-Mar-2022	Active, not recruiting	34110925	U24CA180803
clinical_trial	NCT03607617	ASCEND: ApproacheS to CHC ImplEmeNtation of SDH Data Collection and Action (ASCEND)	15-Jun-2021	Active, not recruiting	34174834	P50CA244289
clinical_trial	NCT02054741	Geriatric Assessment Intervention for Reducing Toxicity in Older Patients With Advanced Cancer	7-Apr-2022	Completed	34272204	U01CA233167
clinical_trial	NCT02054741	Geriatric Assessment Intervention for Reducing Toxicity in Older Patients With Advanced Cancer	7-Apr-2022	Completed	34741815	U01CA233167
clinical_trial	NCT03233854	CD19/CD22 Chimeric Antigen Receptor(CAR) T Cells in Adults With Recurrent/Refractory B Cell Malignancies	21-Feb-2022	Recruiting	34312556	U54CA232568
clinical_trial	NCT02186847	Chemotherapy and Radiation Therapy With or Without Metformin Hydrochloride in Treating Patients With Stage III Non-small Cell Lung Cancer	23-Jun-2020	Active, not recruiting	34323922	U24CA180803
clinical_trial	NCT03971799	Study of Anti-CD33 Chimeric Antigen Receptor-Expressing T Cells (CD33CART) in Children and Young Adults With Relapsed/Refractory Acute Myeloid Leukemia	14-Oct-2021	Recruiting	34531250	U01CA232486
clinical_trial	NCT02478931	Study of Personalized Cancer Therapy to Determine Response and Toxicity (UCSD_PREDICT)	5-Apr-2021	Recruiting	34641956	U01CA217885
clinical_trial	NCT02355262	CATCH-UP Intervention in Increasing Cancer Screening and Prevention Care in Uninsured Patients at Community Health Centers	19-Aug-2020	Completed	34717616	P50CA244289
clinical_trial	NCT04258813	Onco-primary Care Networking to Support TEAM-based Care (ONE TEAM)	21-Mar-2022	Recruiting	34794388	R01CA249568
clinical_trial	NCT00980460	Risk-Based Therapy in Treating Younger Patients With Newly Diagnosed Liver Cancer	20-Jan-2022	Active, not recruiting	34874751	U10CA180899
clinical_trial	NCT00980460	Risk-Based Therapy in Treating Younger Patients With Newly Diagnosed Liver Cancer	20-Jan-2022	Active, not recruiting	34874751	U24CA180803
clinical_trial	NCT02888743	Durvalumab and Tremelimumab With or Without High or Low-Dose Radiation Therapy in Treating Patients With Metastatic Colorectal or Non-small Cell Lung Cancer	6-Jan-2022	Active, not recruiting	35033226	U24CA224316
clinical_trial	NCT02888743	Durvalumab and Tremelimumab With or Without High or Low-Dose Radiation Therapy in Treating Patients With Metastatic Colorectal or Non-small Cell Lung Cancer	6-Jan-2022	Active, not recruiting	35033226	U24CA224331
clinical_trial	NCT01514201	Veliparib, Radiation Therapy, and Temozolomide in Treating Younger Patients With Newly Diagnosed Diffuse Pontine Gliomas	13-Aug-2019	Completed	32009149	UM1CA081457
clinical_trial	NCT02847130	Identifying, Understanding, and Overcoming Barriers to the Use of Clinical Practice Guidelines in Pediatric Oncology	5-Sep-2021	Active, not recruiting	34530933	UG1CA189955
clinical_trial	NCT04239573	Comparing Two Methods to Follow Patients With Pancreatic Cysts	3-Jan-2022	Recruiting	32920242	UG1CA189828
clinical_trial	NCT02296684	Immunotherapy With MK-3475 in Surgically Resectable Head and Neck Squamous Cell Carcinoma	28-Apr-2022	Completed	32665297	U24CA237719
clinical_trial	NCT02296684	Immunotherapy With MK-3475 in Surgically Resectable Head and Neck Squamous Cell Carcinoma	28-Apr-2022	Completed	32665297	U01CA209936
clinical_trial	NCT01642251	Cisplatin and Etoposide With or Without Veliparib in Treating Patients With Extensive Stage Small Cell Lung Cancer	5-Feb-2019	Completed	32860331	UG1CA189828
clinical_trial	NCT01863550	Bortezomib or Carfilzomib With Lenalidomide and Dexamethasone in Treating Patients With Newly Diagnosed Multiple Myeloma	3-Jan-2022	Active, not recruiting	32866432	UG1CA189828
clinical_trial	NCT03257631	A Study of Pomalidomide Monotherapy for Children and Young Adults With Recurrent or Progressive Primary Brain Tumors	3-May-2022	Active, not recruiting	33025730	UM1CA081457
clinical_trial	NCT01606878	Crizotinib and Combination Chemotherapy in Treating Younger Patients With Relapsed or Refractory Solid Tumors or Anaplastic Large Cell Lymphoma	26-Feb-2019	Completed	33095287	UM1CA228823
clinical_trial	NCT01503515	Caspofungin Acetate, Fluconazole, or Voriconazole in Preventing Fungal Infections in Patients Following Donor Stem Cell Transplant	31-Jan-2022	Completed	33136159	UG1CA189955
clinical_trial	NCT01503515	Caspofungin Acetate, Fluconazole, or Voriconazole in Preventing Fungal Infections in Patients Following Donor Stem Cell Transplant	31-Jan-2022	Completed	33136159	U10CA180899
clinical_trial	NCT01190930	Risk-Adapted Chemotherapy in Treating Younger Patients With Newly Diagnosed Standard-Risk Acute Lymphoblastic Leukemia or Localized B-Lineage Lymphoblastic Lymphoma	8-Jun-2021	Active, not recruiting	33411585	U10CA180899
clinical_trial	NCT00025259	Chemotherapy With or Without Additional Chemotherapy and/or Radiation Therapy in Treating Children With Newly Diagnosed Hodgkin's Disease	12-Apr-2017	Completed	33512412	U10CA180899
clinical_trial	NCT00025259	Chemotherapy With or Without Additional Chemotherapy and/or Radiation Therapy in Treating Children With Newly Diagnosed Hodgkin's Disease	12-Apr-2017	Completed	34662378	U10CA180899
clinical_trial	NCT00346164	Observation, Radiation Therapy, Combination Chemotherapy, and/or Surgery in Treating Young Patients With Soft Tissue Sarcoma	28-Apr-2022	Completed	33548339	U10CA180899
clinical_trial	NCT00346164	Observation, Radiation Therapy, Combination Chemotherapy, and/or Surgery in Treating Young Patients With Soft Tissue Sarcoma	28-Apr-2022	Completed	33548339	U24CA180803
clinical_trial	NCT00346164	Observation, Radiation Therapy, Combination Chemotherapy, and/or Surgery in Treating Young Patients With Soft Tissue Sarcoma	28-Apr-2022	Completed	34623899	U10CA180899
