type	publication_id	year	journal	title	authors	publish_date	citation_count	citation_count_category	relative_citation_ratio	rcr_range	nih_percentile	doi	project.queried_project_id
publication	28068178	2017	J Clin Oncol	Cetuximab Plus Chemoradiotherapy in Immunocompetent Patients With Anal Carcinoma: A Phase II Eastern Cooperative Oncology Group-American College of Radiology Imaging Network Cancer Research Group Trial (E3205).	Madhur K Garg, Fengmin Zhao, Joseph A Sparano, Joel Palefsky, Richard Whittington, Edith P Mitchell, Mary F Mulcahy, Karin I Armstrong, Nassim H Nabbout, Shalom Kalnicki, Bassel F El-Rayes, Adedayo A Onitilo, Daniel J Moriarty, Thomas J Fitzgerald, Al B Benson	1-Mar-2017	38	>=20	2.26	2 to 5	78.5	10.1200/JCO.2016.69.1667	U24CA180803
publication	28111464	2017	Leukemia	Bruton's tyrosine kinase inhibition increases BCL-2 dependence and enhances sensitivity to venetoclax in chronic lymphocytic leukemia.	J Deng, E Isik, S M Fernandes, J R Brown, A Letai, M S Davids	1-Oct-2017	89	>=20	4.22	2 to 5	91.3	10.1038/leu.2017.32	R01CA205967
publication	28176769	2017	Nat Commun	Heterogeneity of macrophage infiltration and therapeutic response in lung carcinoma revealed by 3D organ imaging.	Michael F Cuccarese, J Matthew Dubach, Christina Pfirschke, Camilla Engblom, Christopher Garris, Miles A Miller, Mikael J Pittet, Ralph Weissleder	8-Feb-2017	106	>=20	5.02	> 5	93.4	10.1038/ncomms14293	R01AI084880
publication	28249894	2017	Clin Cancer Res	Targeting CD38 Suppresses Induction and Function of T Regulatory Cells to Mitigate Immunosuppression in Multiple Myeloma.	Xiaoyan Feng, Li Zhang, Chirag Acharya, Gang An, Kenneth Wen, Lugui Qiu, Nikhil C Munshi, Yu-Tzu Tai, Kenneth C Anderson	1-Aug-2017	118	>=20	6.21	> 5	95.5	10.1158/1078-0432.CCR-16-3192	P01CA155258
publication	28250416	2017	Nat Struct Mol Biol	TOP2 synergizes with BAF chromatin remodeling for both resolution and formation of facultative heterochromatin.	Erik L Miller, Diana C Hargreaves, Cigall Kadoch, Chiung-Ying Chang, Joseph P Calarco, Courtney Hodges, Jason D Buenrostro, Kairong Cui, William J Greenleaf, Keji Zhao, Gerald R Crabtree	1-Apr-2017	41	>=20	1.54	1.25 to 2	66.3	10.1038/nsmb.3384	R01CA163915
publication	28257609	2017	Arthritis Care Res (Hoboken)	Albuminuria in Rheumatoid Arthritis: Associations With Rheumatoid Arthritis Characteristics and Subclinical Atherosclerosis.	Amanda Sammut, Steven Shea, Roger S Blumenthal, Moyses Szklo, Joan M Bathon, Joseph F Polak, Russell Tracy, Jon T Giles	1-Dec-2017	2	<=4	0.18	< 0.2	9.2	10.1002/acr.23234	R01AR050026
publication	28263969	2017	Oncogene	Activated MEK cooperates with Cdkn2a and Pten loss to promote the development and maintenance of melanoma.	H Yang, D A Kircher, K H Kim, A H Grossmann, M W VanBrocklin, S L Holmen, J P Robinson	6-Jul-2017	9	5 to 9	0.38	0.2 to 0.5	20.6	10.1038/onc.2016.526	R01CA121118
publication	28270494	2017	Clin Cancer Res	Blockade of Deubiquitylating Enzyme USP1 Inhibits DNA Repair and Triggers Apoptosis in Multiple Myeloma Cells.	Deepika Sharma Das, Abhishek Das, Arghya Ray, Yan Song, Mehmet Kemal Samur, Nikhil C Munshi, Dharminder Chauhan, Kenneth C Anderson	1-Aug-2017	34	>=20	1.83	1.25 to 2	72	10.1158/1078-0432.CCR-16-2692	P01CA155258
publication	28272465	2017	Nat Commun	Reconstituting development of pancreatic intraepithelial neoplasia from primary human pancreas duct cells.	Jonghyeob Lee, Emily R Snyder, Yinghua Liu, Xueying Gu, Jing Wang, Brittany M Flowers, Yoo Jung Kim, Sangbin Park, Gregory L Szot, Ralph H Hruban, Teri A Longacre, Seung K Kim	8-Mar-2017	35	>=20	1.51	1.25 to 2	65.5	10.1038/ncomms14686	R01CA211927
publication	28273064	2017	Nature	Class IIa HDAC inhibition reduces breast tumours and metastases through anti-tumour macrophages.	Jennifer L Guerriero, Alaba Sotayo, Holly E Ponichtera, Jessica A Castrillon, Alexandra L Pourzia, Sara Schad, Shawn F Johnson, Ruben D Carrasco, Suzan Lazo, Roderick T Bronson, Scott P Davis, Mercedes Lobera, Michael A Nolan, Anthony Letai	16-Mar-2017	237	>=20	11.66	> 5	98.6	10.1038/nature21409	R01CA205967
publication	28280220	2017	J Nucl Med	68Ga-DOTATOC Imaging of Neuroendocrine Tumors: A Systematic Review and Metaanalysis.	Michael M Graham, Xiaomei Gu, Timothy Ginader, Patrick Breheny, John J Sunderland	1-Sep-2017	49	>=20	4.22	2 to 5	91.3	10.2967/jnumed.117.191197	P50CA174521
publication	28287549	2017	J Vis Exp	Detection and Enrichment of Rare Antigen-specific B Cells for Analysis of Phenotype and Function.	Mia J Smith, Thomas A Packard, Shannon K O'Neill, Rochelle M Hinman, Marynette Rihanek, Peter A Gottlieb, John C Cambier	16-Feb-2017	14	10 to 14	0.75	0.5 to 0.8	39.6	10.3791/55382	R01AI124487
publication	28317123	2017	Med Phys	Motion management strategies and technical issues associated with stereotactic body radiotherapy of thoracic and upper abdominal tumors: A review from NRG oncology.	Edward D Brandner, Indrin J Chetty, Tawfik G Giaddui, Ying Xiao, M Saiful Huq	1-Jun-2017	48	>=20	5.03	> 5	93.5	10.1002/mp.12227	U24CA180803
publication	28323339	2017	Cancer	Adjuvant radiation therapy, androgen deprivation, and docetaxel for high-risk prostate cancer postprostatectomy: Results of NRG Oncology/RTOG study 0621.	Mark D Hurwitz, Jonathan Harris, Oliver Sartor, Ying Xiao, Bobby Shayegan, Paul W Sperduto, Kasra R Badiozamani, Colleen A F Lawton, Eric M Horwitz, Jeff M Michalski, Kevin Roof, David C Beyer, Qiang Zhang, Howard M Sandler	1-Jul-2017	14	10 to 14	0.64	0.5 to 0.8	34.6	10.1002/cncr.30620	U24CA180803
publication	28340012	2017	Rheumatology (Oxford)	Assessment of muscle mass relative to fat mass and associations with physical functioning in rheumatoid arthritis.	Joshua F Baker, Jon T Giles, David Weber, Mary B Leonard, Babette S Zemel, Jin Long, Said Ibrahim, Patricia P Katz	1-Jun-2017	18	15 to 19	1.57	1.25 to 2	66.9	10.1093/rheumatology/kex020	R01AR050026
publication	28341640	2017	J Exp Med	Impaired B cell function during viral infections due to PTEN-mediated inhibition of the PI3K pathway.	Andrew Getahun, Scott M Wemlinger, Pratyaydipta Rudra, Mario L Santiago, Linda F van Dyk, John C Cambier	3-Apr-2017	15	15 to 19	0.77	0.5 to 0.8	40.5	10.1084/jem.20160972	R01AI124487
publication	28346094	2017	SLAS Discov	Drug Library Screening for the Identification of Ionophores That Correct the Mistrafficking Disorder Associated with Oxalosis Kidney Disease.	Shurong Hou, Franck Madoux, Louis Scampavia, Jo Ann Janovick, P Michael Conn, Timothy P Spicer	1-Aug-2017	9	5 to 9	0.5	0.5 to 0.8	26.8	10.1177/2472555217689992	R33CA206949
publication	28379424	2017	Neuro Oncol	Combination therapy with potent PI3K and MAPK inhibitors overcomes adaptive kinome resistance to single agents in preclinical models of glioblastoma.	Robert S McNeill, Demitra A Canoutas, Timothy J Stuhlmiller, Harshil D Dhruv, David M Irvin, Ryan E Bash, Steven P Angus, Laura E Herring, Jeremy M Simon, Kasey R Skinner, Juanita C Limas, Xin Chen, Ralf S Schmid, Marni B Siegel, Amanda E D Van Swearingen, Michael J Hadler, Erik P Sulman, Jann N Sarkaria, Carey K Anders, Lee M Graves, Michael E Berens, Gary L Johnson, C Ryan Miller	19-Oct-2017	27	>=20	1.14	0.8 to 1.25	55.2	10.1093/neuonc/nox044	R01CA204136
publication	28381423	2017	Mol Biol Cell	Integrin-mediated traction force enhances paxillin molecular associations and adhesion dynamics that increase the invasiveness of tumor cells into a three-dimensional extracellular matrix.	Armen H Mekhdjian, FuiBoon Kai, Matthew G Rubashkin, Louis S Prahl, Laralynne M Przybyla, Alexandra L McGregor, Emily S Bell, J Matthew Barnes, Christopher C DuFort, Guanqing Ou, Alice C Chang, Luke Cassereau, Steven J Tan, Michael W Pickup, Jonathan N Lakins, Xin Ye, Michael W Davidson, Jan Lammerding, David J Odde, Alexander R Dunn, Valerie M Weaver	1-Jun-2017	59	>=20	3.17	2 to 5	86.5	10.1091/mbc.E16-09-0654	R01CA192914
publication	28388816	2018	Arthritis Care Res (Hoboken)	Adipose Tissue Macrophages in Rheumatoid Arthritis: Prevalence, Disease-Related Indicators, and Associations With Cardiometabolic Risk Factors.	Jon T Giles, Antony W Ferrante, Rachel Broderick, Afshin Zartoshti, Janine Rose, Kendall Downer, Hui-Zhu Zhang, Robert J Winchester	1-Feb-2018	8	5 to 9	0.63	0.5 to 0.8	33.9	10.1002/acr.23253	R01AR050026
publication	28397388	2017	Am J Transplant	Risk of Thyroid Cancer Among Solid Organ Transplant Recipients.	C M Kitahara, E L Yanik, P W Ladenson, B Y Hernandez, C F Lynch, K S Pawlish, E A Engels	1-Nov-2017	7	5 to 9	0.56	0.5 to 0.8	30.4	10.1111/ajt.14310	P50CA174521
publication	28402856	2017	Cell Rep	Chd8 Mutation Leads to Autistic-like Behaviors and Impaired Striatal Circuits.	Randall J Platt, Yang Zhou, Ian M Slaymaker, Ashwin S Shetty, Niels R Weisbach, Jin-Ah Kim, Jitendra Sharma, Mitul Desai, Sabina Sood, Hannah R Kempton, Gerald R Crabtree, Guoping Feng, Feng Zhang	11-Apr-2017	92	>=20	4.7	2 to 5	92.7	10.1016/j.celrep.2017.03.052	R01CA163915
publication	28402942	2017	Oncotarget	Mesenchymal stem cells and their therapeutic applications in inflammatory bowel disease.	Fei Mao, Qiang Tu, Li Wang, Fuliang Chu, Xia Li, Haiyan S Li, Wenrong Xu	6-Jun-2017	44	>=20	2.97	2 to 5	85.1	10.18632/oncotarget.16682	R01AI109294
publication	28411130	2017	Cancer Lett	IFITM1 suppression blocks proliferation and invasion of aromatase inhibitor-resistant breast cancer in vivo by JAK/STAT-mediated induction of p21.	Asona J Lui, Eric S Geanes, Joshua Ogony, Fariba Behbod, Jordan Marquess, Kelli Valdez, William Jewell, Ossama Tawfik, Joan Lewis-Wambi	28-Jul-2017	26	>=20	1.41	1.25 to 2	63	10.1016/j.canlet.2017.04.005	R01CA207445
publication	28442502	2017	Clin Cancer Res	Ribonucleotide Reductase Catalytic Subunit M1 (RRM1) as a Novel Therapeutic Target in Multiple Myeloma.	Morihiko Sagawa, Hiroto Ohguchi, Takeshi Harada, Mehmet K Samur, Yu-Tzu Tai, Nikhil C Munshi, Masahiro Kizaki, Teru Hideshima, Kenneth C Anderson	1-Sep-2017	12	10 to 14	0.59	0.5 to 0.8	32.1	10.1158/1078-0432.CCR-17-0263	P01CA155258
publication	28464318	2017	Histopathology	Examination of PHOX2B in adult neuroendocrine neoplasms reveals relatively frequent expression in phaeochromocytomas and paragangliomas.	John P Lee, Yin P Hung, Thomas M O'Dorisio, James R Howe, Jason L Hornick, Andrew M Bellizzi	1-Oct-2017	4	<=4	0.38	0.2 to 0.5	20.3	10.1111/his.13243	P50CA174521
publication	28479592	2017	Leukemia	A novel agent SL-401 induces anti-myeloma activity by targeting plasmacytoid dendritic cells, osteoclastogenesis and cancer stem-like cells.	A Ray, D S Das, Y Song, V Macri, P Richardson, C L Brooks, D Chauhan, K C Anderson	1-Dec-2017	26	>=20	1.32	1.25 to 2	60.7	10.1038/leu.2017.135	P01CA155258
publication	28483986	2017	J Immunol	A Consensus Definitive Classification of Scavenger Receptors and Their Roles in Health and Disease.	Mercy R PrabhuDas, Cynthia L Baldwin, Paul L Bollyky, Dawn M E Bowdish, Kurt Drickamer, Maria Febbraio, Joachim Herz, Lester Kobzik, Monty Krieger, John Loike, Benita McVicker, Terry K Means, Soren K Moestrup, Steven R Post, Tatsuya Sawamura, Samuel Silverstein, Robert C Speth, Janice C Telfer, Geoffrey M Thiele, Xiang-Yang Wang, Samuel D Wright, Joseph El Khoury	15-May-2017	130	>=20	7.88	> 5	97	10.4049/jimmunol.1700373	R01CA099326
publication	28484033	2017	Proc Natl Acad Sci U S A	Ectopic protein interactions within BRD4-chromatin complexes drive oncogenic megadomain formation in NUT midline carcinoma.	Artyom A Alekseyenko, Erica M Walsh, Barry M Zee, Tibor Pakozdi, Peter Hsi, Madeleine E Lemieux, Paola Dal Cin, Tan A Ince, Peter V Kharchenko, Mitzi I Kuroda, Christopher A French	23-May-2017	47	>=20	2.3	2 to 5	79	10.1073/pnas.1702086114	R01CA124633
publication	28485815	2017	Cancer	Somatic mutation profiles of clear cell endometrial tumors revealed by whole exome and targeted gene sequencing.	Matthieu Le Gallo, Meghan L Rudd, Mary Ellen Urick, Nancy F Hansen, Suiyuan Zhang, Fred Lozy, Dennis C Sgroi, August Vidal Bel, Xavier Matias-Guiu, Russell R Broaddus, Karen H Lu, Douglas A Levine, David G Mutch, Paul J Goodfellow, Helga B Salvesen, James C Mullikin, Daphne W Bell	1-Sep-2017	42	>=20	2.26	2 to 5	78.5	10.1002/cncr.30745	P50CA098258
publication	28486102	2017	Cancer Cell	Tumor Microenvironment: No Effector T Cells without Dendritic Cells.	Christina Pfirschke, Marie Siwicki, Hsin-Wei Liao, Mikael J Pittet	8-May-2017	25	>=20	1.06	0.8 to 1.25	52.4	10.1016/j.ccell.2017.04.007	R01AI084880
publication	28487543	2017	Leukemia	KDM6B modulates MAPK pathway mediating multiple myeloma cell growth and survival.	H Ohguchi, T Harada, M Sagawa, S Kikuchi, Y-T Tai, P G Richardson, T Hideshima, K C Anderson	1-Dec-2017	35	>=20	1.81	1.25 to 2	71.6	10.1038/leu.2017.141	P01CA155258
publication	28490665	2017	Sci Transl Med	In vivo imaging reveals a tumor-associated macrophage-mediated resistance pathway in anti-PD-1 therapy.	Sean P Arlauckas, Christopher S Garris, Rainer H Kohler, Maya Kitaoka, Michael F Cuccarese, Katherine S Yang, Miles A Miller, Jonathan C Carlson, Gordon J Freeman, Robert M Anthony, Ralph Weissleder, Mikael J Pittet	10-May-2017	293	>=20	14.3	> 5	99	10.1126/scitranslmed.aal3604	R01AI084880
publication	28490812	2017	Leukemia	HDAC3 regulates DNMT1 expression in multiple myeloma: therapeutic implications.	T Harada, H Ohguchi, Y Grondin, S Kikuchi, M Sagawa, Y-T Tai, R Mazitschek, T Hideshima, K C Anderson	1-Dec-2017	40	>=20	2.31	2 to 5	79	10.1038/leu.2017.144	P01CA155258
publication	28515148	2017	Cancer Res	NEMO, a Transcriptional Target of Estrogen and Progesterone, Is Linked to Tumor Suppressor PML in Breast Cancer.	Hanan S Elsarraj, Kelli E Valdez, Yan Hong, Sandra L Grimm, Lawrence R Ricci, Fang Fan, Ossama Tawfik, Lisa May, Therese Cusick, Marc Inciardi, Mark Redick, Jason Gatewood, Onalisa Winblad, Susan Hilsenbeck, Dean P Edwards, Christy R Hagan, Andrew K Godwin, Carol Fabian, Fariba Behbod	15-Jul-2017	8	5 to 9	0.41	0.2 to 0.5	22	10.1158/0008-5472.CAN-16-2794	R01CA207445
publication	28521118	2017	Appl Radiat Isot	Automated cassette-based production of high specific activity [203/212Pb]peptide-based theranostic radiopharmaceuticals for image-guided radionuclide therapy for cancer.	Mengshi Li, Xiuli Zhang, Thomas P Quinn, Dongyoul Lee, Dijie Liu, Falk Kunkel, Brian E Zimmerman, Daniel McAlister, Keith Olewein, Yusuf Menda, Saed Mirzadeh, Roy Copping, Frances L Johnson, Michael K Schultz	1-Sep-2017	12	10 to 14	0.9	0.8 to 1.25	46.4	10.1016/j.apradiso.2017.05.006	P50CA174521
publication	28541380	2018	Biostatistics	A fully Bayesian latent variable model for integrative clustering analysis of multi-type omics data.	Qianxing Mo, Ronglai Shen, Cui Guo, Marina Vannucci, Keith S Chan, Susan G Hilsenbeck	1-Jan-2018	51	>=20	3.54	2 to 5	88.6	10.1093/biostatistics/kxx017	R01CA175397
publication	28554173	2018	Neuroendocrinology	Everolimus in Neuroendocrine Tumors of the Gastrointestinal Tract and Unknown Primary.	Simron Singh, Carlo Carnaghi, Roberto Buzzoni, Rodney F Pommier, Markus Raderer, Jiri Tomasek, Harald Lahner, Juan W Valle, Maurizio Voi, Lida Bubuteishvili-Pacaud, Jeremie Lincy, Edward Wolin, Natsuko Okita, Steven K Libutti, Do-Youn Oh, Matthew Kulke, Jonathan Strosberg, James C Yao, Marianne E Pavel, Nicola Fazio	31-Dec-2017	15	15 to 19	1.39	1.25 to 2	62.5	10.1159/000477585	P50CA174521
publication	28572161	2017	Haematologica	Ultrasensitive detection of acute myeloid leukemia minimal residual disease using single molecule molecular inversion probes.	Adam Waalkes, Kelsi Penewit, Brent L Wood, David Wu, Stephen J Salipante	1-Sep-2017	18	15 to 19	0.91	0.8 to 1.25	46.8	10.3324/haematol.2017.169136	R33CA192980
publication	28576884	2017	Cancer Res	Mdm2 Is Required for Survival and Growth of p53-Deficient Cancer Cells.	Kyle P Feeley, Clare M Adams, Ramkrishna Mitra, Christine M Eischen	15-Jul-2017	21	>=20	1.15	0.8 to 1.25	55.5	10.1158/0008-5472.CAN-17-0809	R01CA181204
publication	28581522	2017	Oncogene	Blockade of deubiquitylating enzyme Rpn11 triggers apoptosis in multiple myeloma cells and overcomes bortezomib resistance.	Y Song, S Li, A Ray, D S Das, J Qi, M K Samur, Y-T Tai, N Munshi, R D Carrasco, D Chauhan, K C Anderson	5-Oct-2017	47	>=20	2.7	2 to 5	83.1	10.1038/onc.2017.172	P01CA155258
publication	28587050	2017	Int J Radiat Oncol Biol Phys	Application of Critical Volume-Dose Constraints for Stereotactic Body Radiation Therapy in NRG Radiation Therapy Trials.	Timothy A Ritter, Martha Matuszak, Indrin J Chetty, Charles S Mayo, Jackie Wu, Puneeth Iyengar, Michael Weldon, Clifford Robinson, Ying Xiao, Robert D Timmerman	1-May-2017	8	5 to 9	0.53	0.5 to 0.8	28.6	10.1016/j.ijrobp.2017.01.204	U24CA180803
publication	28588253	2018	Leukemia	Nucleotide excision repair is a potential therapeutic target in multiple myeloma.	R Szalat, M K Samur, M Fulciniti, M Lopez, P Nanjappa, A Cleynen, K Wen, S Kumar, T Perini, A S Calkins, E Reznichenko, D Chauhan, Y-T Tai, M A Shammas, K C Anderson, J-P Fermand, B Arnulf, H Avet-Loiseau, J-B Lazaro, N C Munshi	1-Jan-2018	27	>=20	1.63	1.25 to 2	68.3	10.1038/leu.2017.182	P01CA155258
publication	28591772	2017	J Clin Endocrinol Metab	Biological Evaluation of a Fluorescent-Imaging Agent for Medullary Thyroid Cancer in an Orthotopic Model.	Kara K Rossfeld, Steven E Justiniano, Haiming Ding, Li Gong, Shankaran Kothandaraman, Dwitiya Sawant, Motoyasu Saji, Chadwick L Wright, Lawrence S Kirschner, Matthew D Ringel, Michael F Tweedle, John E Phay	1-Sep-2017	1	<=4	0.08	< 0.2	3.8	10.1210/jc.2017-00573	U24CA180803
publication	28600474	2017	Clin Cancer Res	Use of Angiotensin System Inhibitors Is Associated with Immune Activation and Longer Survival in Nonmetastatic Pancreatic Ductal Adenocarcinoma.	Hao Liu, Kamila Naxerova, Matthias Pinter, Joao Incio, Hang Lee, Kohei Shigeta, William W Ho, Jonathan A Crain, Alex Jacobson, Theodoros Michelakos, Daniella Dias-Santos, Andrea Zanconato, Theodore S Hong, Jeffrey W Clark, Janet E Murphy, David P Ryan, Vikram Deshpande, Keith D Lillemoe, Carlos Fernandez-Del Castillo, Michael Downes, Ronald M Evans, James Michaelson, Cristina R Ferrone, Yves Boucher, Rakesh K Jain	1-Oct-2017	38	>=20	1.92	1.25 to 2	73.5	10.1158/1078-0432.CCR-17-0256	R01CA208205
publication	28602904	2017	J Biomed Inform	A hybrid approach to automatic de-identification of psychiatric notes.	Hee-Jin Lee, Yonghui Wu, Yaoyun Zhang, Jun Xu, Hua Xu, Kirk Roberts	1-Nov-2017	14	10 to 14	1.81	1.25 to 2	71.7	10.1016/j.jbi.2017.06.006	U24CA194215
publication	28606585	2018	J Allergy Clin Immunol	Cancer in primary immunodeficiency diseases: Cancer incidence in the United States Immune Deficiency Network Registry.	Paul C Mayor, Kevin H Eng, Kelly L Singel, Scott I Abrams, Kunle Odunsi, Kirsten B Moysich, Ramsay Fuleihan, Elizabeth Garabedian, Patricia Lugar, Hans D Ochs, Francisco A Bonilla, Rebecca H Buckley, Kathleen E Sullivan, Zuhair K Ballas, Charlotte Cunningham-Rundles, Brahm H Segal	1-Mar-2018	81	>=20	5.99	> 5	95.2	10.1016/j.jaci.2017.05.024	R01CA188900
publication	28621576	2018	Epigenetics	Tethering of Lsh at the Oct4 locus promotes gene repression associated with epigenetic changes.	Jianke Ren, Nathaniel A Hathaway, Gerald R Crabtree, Kathrin Muegge	31-Dec-2017	7	5 to 9	0.35	0.2 to 0.5	18.7	10.1080/15592294.2017.1338234	R01CA163915
publication	28624153	2017	Gynecol Oncol	Impact of ascites volume on clinical outcomes in ovarian cancer: A cohort study.	J Brian Szender, Tiffany Emmons, Sarah Belliotti, Danielle Dickson, Aalia Khan, Kayla Morrell, A N M Nazmul Khan, Kelly L Singel, Paul C Mayor, Kirsten B Moysich, Kunle Odunsi, Brahm H Segal, Kevin H Eng	1-Sep-2017	21	>=20	1.14	0.8 to 1.25	55.1	10.1016/j.ygyno.2017.06.008	R01CA188900
publication	28629896	2017	J Thorac Oncol	Randomized Phase II Study of Preoperative Chemoradiotherapy ± Panitumumab Followed by Consolidation Chemotherapy in Potentially Operable Locally Advanced (Stage IIIa, N2+) Non-Small Cell Lung Cancer: NRG Oncology RTOG 0839.	Martin J Edelman, Chen Hu, Quynh-Thu Le, Jessica S Donington, Warren D D'Souza, Adam P Dicker, Billy W Loo, Elizabeth M Gore, Gregory M M Videtic, Nathaniel R Evans, Joseph W Leach, Maximilian Diehn, Steven J Feigenberg, Yuhchyau Chen, Rebecca Paulus, Jeffrey D Bradley	1-Sep-2017	14	10 to 14	0.77	0.5 to 0.8	40.9	10.1016/j.jtho.2017.06.007	U24CA180803
publication	28635117	2018	Arthritis Care Res (Hoboken)	Relationship Between Fish Consumption and Disease Activity in Rheumatoid Arthritis.	Sara K Tedeschi, Joan M Bathon, Jon T Giles, Tzu-Chieh Lin, Kazuki Yoshida, Daniel H Solomon	1-Mar-2018	22	>=20	2.24	2 to 5	78.2	10.1002/acr.23295	R01AR050026
publication	28637795	2018	Cancer Epidemiol Biomarkers Prev	Genome-Wide Association Studies of Cancer in Diverse Populations.	Sungshim L Park, Iona Cheng, Christopher A Haiman	1-Apr-2018	24	>=20	1.48	1.25 to 2	64.7	10.1158/1055-9965.EPI-17-0169	U01CA164973
publication	28640950	2017	Med Phys	Development of a Monte Carlo multiple source model for inclusion in a dose calculation auditing tool.	Austin M Faught, Scott E Davidson, Jonas Fontenot, Stephen F Kry, Carol Etzel, Geoffrey S Ibbott, David S Followill	1-Sep-2017	1	<=4	0.16	< 0.2	8	10.1002/mp.12426	U24CA180803
