type	publication_id	pmc_id	year	journal	title	authors	publish_date	citation_count	relative_citation_ratio	rcr_range	nih_percentile	doi	project.project_id
publication	30517739	PMC6344847	2019	Nucleic Acids Res	Aberrant splicing in B-cell acute lymphoblastic leukemia.	"Kathryn L Black, Ammar S Naqvi, Mukta Asnani, Katharina E Hayer, Scarlett Y Yang, Elisabeth Gillespie, Asen Bagashev, Vinodh Pillai, Sarah K Tasian, Matthew R Gazzara, Martin Carroll, Deanne Taylor, Kristen W Lynch, Yoseph Barash, Andrei Thomas-Tikhonenko"		5	0.41	0.2 to 0.5	21.7	10.1093/nar/gky1231	1U01CA232563-01
publication	31606723	PMC7184536	2019	Oral Oncol	MYB-activated models for testing therapeutic agents in adenoid cystic carcinoma.	"Yue Jiang, Ruli Gao, Chunxia Cao, Lauren Forbes, Jianping Li, Shelby Freeberg, Kristianna M Fredenburg, Jeb M Justice, Natalie L Silver, Lizi Wu, Sushama Varma, Robert West, Jonathan D Licht, Maria Zajac-Kaye, Alex Kentsis, Frederic J Kaye"		4	0.41	0.2 to 0.5	22	10.1016/j.oraloncology.2019.09.005	3R01CA204396-02S1
publication	26207839	PMC4707937	2015	Anal Chem	"Multicolored, Tb³⁺-Based Antibody-Free Detection of Multiple Tyrosine Kinase Activities."	"Andrew M Lipchik, Minervo Perez, Wei Cui, Laurie L Parker"		7	0.43	0.2 to 0.5	23.2	10.1021/acs.analchem.5b02233	3R01CA182543-05S2
publication	29475961	PMC5921963	2018	Blood	Alterations in the Rho pathway contribute to Epstein-Barr virus-induced lymphomagenesis in immunosuppressed environments.	"Sung-Yup Cho, Chang Ohk Sung, Jeesoo Chae, Jieun Lee, Deukchae Na, Wonyoung Kang, Jinjoo Kang, Seoyeon Min, Ahra Lee, Eunhye Kwak, Jooyoung Kim, Boram Choi, Hyunsoo Kim, Jeffrey H Chuang, Hyo-Kyung Pak, Chan-Sik Park, Sanghui Park, Young Hyeh Ko, Dakeun Lee, Jin Roh, Min-Sun Cho, Seongyeol Park, Young Seok Ju, Yun-Suhk Suh, Seong-Ho Kong, Hyuk-Joon Lee, James Keck, Jacques Banchereau, Edison T Liu, Woo-Ho Kim, Hansoo Park, Han-Kwang Yang, Jong-Il Kim, Charles Lee"		4	0.43	0.2 to 0.5	22.9	10.1182/blood-2017-07-797209	1U24CA224067-01
publication	30647079	PMC6467811	2019	Clin Cancer Res	Fucosylation Enhances the Efficacy of Adoptively Transferred Antigen-Specific Cytotoxic T Lymphocytes.	"Gheath Alatrash, Na Qiao, Mao Zhang, Madhushree Zope, Alexander A Perakis, Pariya Sukhumalchandra, Anne V Philips, Haven R Garber, Celine Kerros, Lisa S St John, Maria R Khouri, Hiep Khong, Karen Clise-Dwyer, Leonard P Miller, Steve Wolpe, Willem W Overwijk, Jeffrey J Molldrem, Qing Ma, Elizabeth J Shpall, Elizabeth A Mittendorf"		5	0.43	0.2 to 0.5	23	10.1158/1078-0432.CCR-18-1527	1U24CA224285-01
publication	30061557	PMC6065409	2018	Sci Rep	Distribution-based measures of tumor heterogeneity are sensitive to mutation calling and lack strong clinical predictive power.	"Javad Noorbakhsh, Hyunsoo Kim, Sandeep Namburi, Jeffrey H Chuang"		8	0.46	0.2 to 0.5	24.7	10.1038/s41598-018-29154-7	1U24CA224067-01
publication	30334351	PMC6272123	2018	Small	Microparticle Delivery of Protein Markers for Single-Cell Western Blotting from Microwells.	"John J Kim, Peggy P Y Chan, Julea Vlassakis, Alisha Geldert, Amy E Herr"		6	0.48	0.2 to 0.5	26	10.1002/smll.201802865	1R33CA225296-01
publication	30971691	PMC6458150	2019	Nat Commun	Multimodal interference-based imaging of nanoscale structure and macromolecular motion uncovers UV induced cellular paroxysm.	"Scott Gladstein, Luay M Almassalha, Lusik Cherkezyan, John E Chandler, Adam Eshein, Aya Eid, Di Zhang, Wenli Wu, Greta M Bauer, Andrew D Stephens, Simona Morochnik, Hariharan Subramanian, John F Marko, Guillermo A Ameer, Igal Szleifer, Vadim Backman"		4	0.48	0.2 to 0.5	25.7	10.1038/s41467-019-09717-6	1R33CA225323-01
publication	30139738	PMC6279489	2018	Mol Cancer Res	Z4 Complex Member Fusions in NUT Carcinoma: Implications for a Novel Oncogenic Mechanism.	"Hitoshi Shiota, Janine E Elya, Artyom A Alekseyenko, Pauline M Chou, Shelby A Gorman, Olena Barbash, Kelly Becht, Kristina Danga, Mitzi I Kuroda, Valentina Nardi, Christopher A French"		8	0.49	0.2 to 0.5	26.7	10.1158/1541-7786.MCR-18-0474	3R01CA124633-11A1S1
publication	30627328	PMC6305143	2018	Oncotarget	Analysis of mutations in primary and metastatic synovial sarcoma.	"Zhuo Xing, Lei Wei, Xiaoling Jiang, Jeffrey Conroy, Sean Glenn, Wiam Bshara, Tao Yu, Annie Pao, Shinya Tanaka, Akira Kawai, Christopher Choi, Jianmin Wang, Song Liu, Carl Morrison, Y Eugene Yu"		6	0.51	0.5 to 0.8	27.7	10.18632/oncotarget.26416	3R01CA187532-03S1
publication	29335648	PMC6049828	2018	Nat Immunol	Rapid chromatin repression by Aire provides precise control of immune tolerance.	"Andrew S Koh, Erik L Miller, Jason D Buenrostro, David M Moskowitz, Jing Wang, William J Greenleaf, Howard Y Chang, Gerald R Crabtree"		11	0.52	0.5 to 0.8	28.3	10.1038/s41590-017-0032-8	3R01CA163915-07S1
publication	31342013	PMC6655478	2018	Annu Rev Biomed Data Sci	Big Data Approaches for Modeling Response and Resistance to Cancer Drugs.	"Peng Jiang, William R Sellers, X Shirley Liu"		8	0.52	0.5 to 0.8	28.1	10.1146/annurev-biodatasci-080917-013350	1U24CA224316-01
publication	30989105	PMC6447737	2019	Mol Ther Oncolytics	The Antiviral Apparatus: STING and Oncolytic Virus Restriction.	"Joel Lee, Mohammed G Ghonime, Ruoning Wang, Kevin A Cassady"		6	0.54	0.5 to 0.8	29	10.1016/j.omto.2019.02.002	1U01CA232488-01
publication	30630822	PMC6397693	2019	Cancer Res	Enhancer Domains in Gastrointestinal Stromal Tumor Regulate KIT Expression and Are Targetable by BET Bromodomain Inhibition.	"Matthew L Hemming, Matthew A Lawlor, Jessica L Andersen, Timothy Hagan, Otari Chipashvili, Thomas G Scott, Chandrajit P Raut, Ewa Sicinska, Scott A Armstrong, George D Demetri, James E Bradner"		8	0.57	0.5 to 0.8	30.6	10.1158/0008-5472.CAN-18-1888	5R01CA176745-09
publication	30810873	PMC6545898	2019	J Neurooncol	Quantifying radiation therapy response using apparent diffusion coefficient (ADC) parametric mapping of pediatric diffuse intrinsic pontine glioma: a report from the pediatric brain tumor consortium.	"Rafael Ceschin, Mehmet Kocak, Sridhar Vajapeyam, Ian F Pollack, Arzu Onar-Thomas, Ira J Dunkel, Tina Young Poussaint, Ashok Panigrahy"		4	0.57	0.5 to 0.8	30.8	10.1007/s11060-019-03133-y	2UM1CA081457-21
publication	30694220	PMC6483518	2019	JCI Insight	Rorc restrains the potency of ST2+ regulatory T cells in ameliorating intestinal graft-versus-host disease.	"Jinfeng Yang, Abdulraouf Ramadan, Dawn K Reichenbach, Michael Loschi, Jilu Zhang, Brad Griesenauer, Hong Liu, Keli L Hippen, Bruce R Blazar, Sophie Paczesny"		7	0.6	0.5 to 0.8	32.5	10.1172/jci.insight.122014	1U01CA232491-01
publication	30858180	PMC6413886	2019	Mol Syst Biol	Genome-wide prediction of synthetic rescue mediators of resistance to targeted and immunotherapy.	"Avinash Das Sahu, Joo S Lee, Zhiyong Wang, Gao Zhang, Ramiro Iglesias-Bartolome, Tian Tian, Zhi Wei, Benchun Miao, Nishanth Ulhas Nair, Olga Ponomarova, Adam A Friedman, Arnaud Amzallag, Tabea Moll, Gyulnara Kasumova, Patricia Greninger, Regina K Egan, Leah J Damon, Dennie T Frederick, Livnat Jerby-Arnon, Allon Wagner, Kuoyuan Cheng, Seung Gu Park, Welles Robinson, Kevin Gardner, Genevieve Boland, Sridhar Hannenhalli, Meenhard Herlyn, Cyril Benes, Keith Flaherty, Ji Luo, J Silvio Gutkind, Eytan Ruppin"		8	0.6	0.5 to 0.8	32.3	10.15252/msb.20188323	1R33CA225291-01
publication	31828566	PMC6994452	2019	Cancer Metastasis Rev	Immunotherapies for pediatric cancer: current landscape and future perspectives.	"Brian Hutzen, Siddhi Nath Paudel, Meisam Naeimi Kararoudi, Kevin A Cassady, Dean A Lee, Timothy P Cripe"		6	0.61	0.5 to 0.8	33	10.1007/s10555-019-09819-z	1U54CA232561-01A1
publication	31355777	PMC6715408	2019	J Clin Invest	Breaking barriers for T cells by targeting the EPHA2/TGF-β/COX-2 axis in pancreatic cancer.	Jose R Conejo-Garcia		6	0.62	0.5 to 0.8	33.6	10.1172/JCI130316	1U01CA232758-01
publication	29859828	PMC6197816	2018	Dev Comp Immunol	Multi-color flow cytometry for evaluating age-related changes in memory lymphocyte subsets in dogs.	"Sita S Withers, Peter F Moore, Hong Chang, Jin W Choi, Stephen J McSorley, Michael S Kent, Arta M Monjazeb, Robert J Canter, William J Murphy, Ellen E Sparger, Robert B Rebhun"		8	0.64	0.5 to 0.8	34.6	10.1016/j.dci.2018.05.022	1U01CA224166-01
publication	31659305	PMC6817870	2019	Sci Rep	Multiplexed in-gel microfluidic immunoassays: characterizing protein target loss during reprobing of benzophenone-modified hydrogels.	"Anjali Gopal, Amy E Herr"		5	0.66	0.5 to 0.8	35.3	10.1038/s41598-019-51849-8	1R33CA225296-01
publication	29318900		2018	Future Oncol	Exercise-induced myokines as emerging therapeutic agents in colorectal cancer prevention and treatment.	"Priya Roy, Sanjib Chowdhury, Hemant K Roy"		7	0.67	0.5 to 0.8	36	10.2217/fon-2017-0555	1R33CA225323-01
publication	30827501	PMC6407496	2019	Am J Hum Genet	Discovery of Allele-Specific Protein-RNA Interactions in Human Transcriptomes.	"Emad Bahrami-Samani, Yi Xing"		8	0.67	0.5 to 0.8	36.1	10.1016/j.ajhg.2019.01.018	1U01CA233074-01
publication	30276358	PMC6162057	2018	Curr Opin Biomed Eng	Biomechanical forces in tissue engineered tumor models.	"Letitia K Chim, Antonios G Mikos"		7	0.68	0.5 to 0.8	36.1	10.1016/j.cobme.2018.03.004	3R01CA180279-05S1
publication	30730747	PMC7250065	2019	J Proteome Res	Multiomic Profiling of Tyrosine Kinase Inhibitor-Resistant K562 Cells Suggests Metabolic Reprogramming To Promote Cell Survival.	"Brett M Noel, Steven B Ouellette, Laura Marholz, Deborah Dickey, Connor Navis, Tzu-Yi Yang, Vinh Nguyen, Sarah J Parker, David Bernlohr, Zohar Sachs, Laurie L Parker"		6	0.69	0.5 to 0.8	36.9	10.1021/acs.jproteome.9b00028	3R01CA182543-05S2
publication	30357359	PMC6277088	2018	Nucleic Acids Res	Aberrant splicing in B-cell acute lymphoblastic leukemia.	"Kathryn L Black, Ammar S Naqvi, Mukta Asnani, Katharina E Hayer, Scarlett Y Yang, Elisabeth Gillespie, Asen Bagashev, Vinodh Pillai, Sarah K Tasian, Matthew R Gazzara, Martin Carroll, Deanne Taylor, Kristen W Lynch, Yoseph Barash, Andrei Thomas-Tikhonenko"		14	0.78	0.5 to 0.8	41	10.1093/nar/gky946	1U01CA232563-01
publication	26671994	PMC4915779	2016	Clin Cancer Res	Molecular Pathways: Targeting Cancer Stem Cells Awakened by Chemotherapy to Abrogate Tumor Repopulation.	Keith Syson Chan		17	0.81	0.8 to 1.25	42.6	10.1158/1078-0432.CCR-15-0183	3R01CA175397-07S1
publication	31303270	PMC6777560	2019	Biochem Biophys Res Commun	Fidelity of a PDX-CR model for bladder cancer.	"Abdul M Mondal, Ai-Hong Ma, Guangzhao Li, Ewa Krawczyk, Ruan Yuan, Jie Lu, Richard Schlegel, Lambros Stamatakis, Keith J Kowalczyk, George K Philips, Chong-Xian Pan, Xuefeng Liu"		8	0.81	0.8 to 1.25	42.5	10.1016/j.bbrc.2019.06.165	1U54CA233306-01
publication	32682766	PMC7365127	2020	Gastroenterology	Screening and Surveillance Colonoscopy and COVID-19: Avoiding More Casualties.	"Samir Gupta, David Lieberman"		5	0.84	0.8 to 1.25		10.1053/j.gastro.2020.06.091	1UG3CA233314-01A1
publication	29869105		2018	Ann Biomed Eng	Material Processing and Design of Biodegradable Metal Matrix Composites for Biomedical Applications.	"Jingxin Yang, Jason L Guo, Antonios G Mikos, Chunyan He, Guang Cheng"		6	0.89	0.8 to 1.25	45.9	10.1007/s10439-018-2058-y	3R01CA180279-05S1
publication	25689372	PMC4342272	2015	J Am Chem Soc	KINATEST-ID: a pipeline to develop phosphorylation-dependent terbium sensitizing kinase assays.	"Andrew M Lipchik, Minervo Perez, Scott Bolton, Vasin Dumrongprechachan, Steven B Ouellette, Wei Cui, Laurie L Parker"		18	0.92	0.8 to 1.25	47.2	10.1021/ja507164a	3R01CA182543-05S2
publication	34296197	PMC8294470	2020	Nat Cancer	Multimodal Mapping of the Tumor and Peripheral Blood Immune Landscape in Human Pancreatic Cancer.	"Nina G Steele, Eileen S Carpenter, Samantha B Kemp, Veerin Sirihorachai, Stephanie The, Lawrence Delrosario, Jenny Lazarus, El-Ad David Amir, Valerie Gunchick, Carlos Espinoza, Samantha Bell, Lindsey Harris, Fatima Lima, Valerie Irizarry-Negron, Daniel Paglia, Justin Macchia, Angel Ka Yan Chu, Heather Schofield, Erik-Jan Wamsteker, Richard Kwon, Allison Schulman, Anoop Prabhu, Ryan Law, Arjun Sondhi, Jessica Yu, Arpan Patel, Katelyn Donahue, Hari Nathan, Clifford Cho, Michelle A Anderson, Vaibhav Sahai, Costas A Lyssiotis, Weiping Zou, Benjamin L Allen, Arvind Rao, Howard C Crawford, Filip Bednar, Timothy L Frankel, Marina Pasca di Magliano"		5	0.92	0.8 to 1.25		10.1038/s43018-020-00121-4	1U01CA224145-01
publication	29566717	PMC5865376	2018	Implement Sci	Toward optimal implementation of cancer prevention and control programs in public health: a study protocol on mis-implementation.	"Margaret Padek, Peg Allen, Paul C Erwin, Melissa Franco, Ross A Hammond, Benjamin Heuberger, Matt Kasman, Doug A Luke, Stephanie Mazzucca, Sarah Moreland-Russell, Ross C Brownson"		6	0.93	0.8 to 1.25	47.5	10.1186/s13012-018-0742-9	5R01CA214530-02
publication	32499547	PMC7272436	2020	Nat Commun	An essential role for Argonaute 2 in EGFR-KRAS signaling in pancreatic cancer development.	"Sunita Shankar, Jean Ching-Yi Tien, Ronald F Siebenaler, Seema Chugh, Vijaya L Dommeti, Sylvia Zelenka-Wang, Xiao-Ming Wang, Ingrid J Apel, Jessica Waninger, Sanjana Eyunni, Alice Xu, Malay Mody, Andrew Goodrum, Yuping Zhang, John J Tesmer, Rahul Mannan, Xuhong Cao, Pankaj Vats, Sethuramasundaram Pitchiaya, Stephanie J Ellison, Jiaqi Shi, Chandan Kumar-Sinha, Howard C Crawford, Arul M Chinnaiyan"		5	0.93	0.8 to 1.25		10.1038/s41467-020-16309-2	1U01CA224145-01
publication	28572161	PMC5685235	2017	Haematologica	Ultrasensitive detection of acute myeloid leukemia minimal residual disease using single molecule molecular inversion probes.	"Adam Waalkes, Kelsi Penewit, Brent L Wood, David Wu, Stephen J Salipante"		18	0.97	0.8 to 1.25	49.1	10.3324/haematol.2017.169136	3R33CA192980-03S1
publication	30397337	PMC6428590	2018	Nat Genet	A deep learning approach to automate refinement of somatic variant calling from cancer sequencing data.	"Benjamin J Ainscough, Erica K Barnell, Peter Ronning, Katie M Campbell, Alex H Wagner, Todd A Fehniger, Gavin P Dunn, Ravindra Uppaluri, Ramaswamy Govindan, Thomas E Rohan, Malachi Griffith, Elaine R Mardis, S Joshua Swamidass, Obi L Griffith"		16	0.99	0.8 to 1.25	50	10.1038/s41588-018-0257-y	1U01DE029188-01
publication	33159050	PMC7648012	2020	Nat Commun	LSH mediates gene repression through macroH2A deposition.	"Kai Ni, Jianke Ren, Xiaoping Xu, Yafeng He, Richard Finney, Simon M G Braun, Nathaniel A Hathaway, Gerald R Crabtree, Kathrin Muegge"		5	0.99	0.8 to 1.25		10.1038/s41467-020-19159-0	3R01CA163915-07S1
publication	31650024	PMC6804520	2019	Mol Ther Oncolytics	Immunotherapeutic Challenges for Pediatric Cancers.	"Brian Hutzen, Mohammed Ghonime, Joel Lee, Elaine R Mardis, Ruoning Wang, Dean A Lee, Mitchell S Cairo, Ryan D Roberts, Timothy P Cripe, Kevin A Cassady"		10	1.01	0.8 to 1.25	50.5	10.1016/j.omto.2019.08.005	1U01CA232488-01
publication	31650024	PMC6804520	2019	Mol Ther Oncolytics	Immunotherapeutic Challenges for Pediatric Cancers.	"Brian Hutzen, Mohammed Ghonime, Joel Lee, Elaine R Mardis, Ruoning Wang, Dean A Lee, Mitchell S Cairo, Ryan D Roberts, Timothy P Cripe, Kevin A Cassady"		10	1.01	0.8 to 1.25	50.5	10.1016/j.omto.2019.08.005	1U54CA232561-01A1
